"idx","regdate"
"1","20221206"
"2","20221206"
"3","20221206"
"4","20221206"
"5","20221206"
"7","20221206"
"8","20221206"
"9","20221206"
"10","20221206"
"11","20221206"
"12","20221206"
"13","20221206"
"14","20221206"
"15","20221206"
"16","20221206"
"17","20221206"
"18","20221206"
"19","20221206"
"20","20221206"
"21","20221206"
"22","20221206"
"23","20221206"
"24","20221206"
"25","20221206"
"26","20221206"
"27","20221206"
"28","20221206"
"29","20221206"
"30","20221206"
"31","20221206"
"32","20221206"
"33","20221206"
"34","20221206"
"35","20221206"
"36","20221206"
"37","20221206"
"38","20221206"
"39","20221206"
"40","20221206"
"41","20221206"
"42","20221206"
"43","20221206"
"44","20221206"
"45","20221206"
"46","20221206"
"47","20221206"
"48","20221206"
"49","20221206"
"50","20221206"
"51","20221206"
"52","20221206"
"53","20221206"
"54","20221206"
"55","20221206"
"56","20221206"
"57","20221206"
"58","20221206"
"59","20221206"
"60","20221206"
"61","20221206"
"62","20221206"
"63","20221206"
"64","20221206"
"65","20221206"
"66","20221206"
"67","20221206"
"68","20221206"
"69","20221206"
"70","20221206"
"71","20221206"
"72","20221206"
"73","20221206"
"74","20221206"
"75","20221206"
"76","20221206"
"77","20221206"
"78","20221206"
"79","20221206"
"80","20221206"
"81","20221206"
"82","20221206"
"83","20221206"
"84","20221206"
"85","20221206"
"86","20221206"
"87","20221206"
"88","20221206"
"89","20221206"
"90","20221206"
"91","20221206"
"92","20221206"
"93","20221206"
"94","20221206"
"95","20221206"
"96","20221206"
"97","20221206"
"98","20221206"
"99","20221206"
"100","20221206"
"101","20221206"
"102","20221206"
"103","20221206"
"104","20221206"
"105","20221206"
"106","20221206"
"107","20221206"
"108","20221206"
"109","20221206"
"110","20221206"
"111","20221206"
"112","20221206"
"113","20221206"
"114","20221206"
"115","20221206"
"116","20221206"
"117","20221206"
"118","20221206"
"119","20221206"
"120","20221206"
"121","20221206"
"122","20221206"
"123","20221206"
"124","20221206"
"125","20221206"
"126","20221206"
"127","20221206"
"128","20221206"
"129","20221206"
"130","20221206"
"131","20221206"
"132","20221206"
"133","20221206"
"134","20221206"
"135","20221206"
"136","20221206"
"137","20221206"
"138","20221206"
"139","20221206"
"140","20221206"
"141","20221206"
"142","20221206"
"143","20221206"
"144","20221206"
"145","20221206"
"146","20221206"
"147","20221206"
"148","20221206"
"149","20221206"
"150","20221206"
"151","20221206"
"152","20221206"
"153","20221206"
"154","20221206"
"155","20221206"
"156","20221206"
"157","20221206"
"158","20221206"
"159","20221206"
"160","20221206"
"161","20221206"
"162","20221206"
"163","20221206"
"164","20221206"
"165","20221206"
"166","20221206"
