"idx","sex","status","grade"
"76465","여","유료회원","초2학년"
"7665","남","유료회원","초5학년"
"69965","여","유료회원","초2학년"
"75930","남","유료회원","초3학년"
"27505","여","유료회원","초3학년"
"50847","남","유료회원","초2학년"
"65145","여","유료회원","초2학년"
"32494","남","유료회원","초1학년"
"59248","여","유료회원","초1학년"
"36486","남","유료회원","초3학년"
"86422","여","유료회원","초1학년"
"74751","여","유료회원","0학년"
"64743","남","유료회원","초5학년"
"34878","여","유료회원","초2학년"
"51396","남","유료회원","초2학년"
"39409","여","유료회원","초2학년"
"55460","여","유료회원","초2학년"
"2201","남","유료회원","초5학년"
"19709","여","유료회원","초6학년"
"90387","여","유료회원","초3학년"
"41534","여","유료회원","초2학년"
"77053","남","유료회원","초3학년"
"67028","여","유료회원","초1학년"
"6202","여","유료회원","초4학년"
"39951","남","유료회원","초1학년"
"53758","여","유료회원","초3학년"
"48880","여","유료회원","초1학년"
"23984","여","유료회원","초6학년"
"49911","남","유료회원","초1학년"
"53358","정보없음","유료회원","초3학년"
"7050","여","유료회원","초4학년"
"22529","남","유료회원","초4학년"
"47688","남","유료회원","초3학년"
"39093","여","유료회원","초4학년"
"794","여","유료회원","초4학년"
"9238","남","유료회원","초2학년"
"45218","남","유료회원","초2학년"
"37389","남","유료회원","초2학년"
"49780","여","유료회원","초3학년"
"4362","여","유료회원","초3학년"
"13588","남","유료회원","초2학년"
"35568","여","유료회원","초3학년"
"3604","여","유료회원","초5학년"
"62779","여","유료회원","초3학년"
"39584","여","유료회원","초4학년"
"94378","남","유료회원","초1학년"
"17984","남","유료회원","초3학년"
"7177","여","유료회원","초4학년"
"10626","남","유료회원","초2학년"
"28023","남","유료회원","초1학년"
"62936","남","유료회원","초4학년"
"69823","남","유료회원","초1학년"
"64677","남","유료회원","0학년"
"59076","남","유료회원","초5학년"
"38149","남","유료회원","초3학년"
"36394","남","유료회원","0학년"
"62009","여","유료회원","초3학년"
"17127","남","유료회원","초3학년"
"27355","남","유료회원","초2학년"
"44277","여","유료회원","초4학년"
"45540","여","유료회원","초6학년"
"88753","남","유료회원","초1학년"
"34922","남","유료회원","초2학년"
"8222","남","유료회원","초4학년"
"93595","여","유료회원","초4학년"
"17246","여","유료회원","초5학년"
"26301","남","유료회원","초2학년"
"23959","여","유료회원","초2학년"
"20318","여","유료회원","초5학년"
"28433","여","유료회원","초1학년"
"40858","남","유료회원","초5학년"
"58950","여","유료회원","초2학년"
"20148","여","유료회원","초3학년"
"3910","여","유료회원","초5학년"
"35739","여","유료회원","초5학년"
"12848","남","유료회원","초3학년"
"38131","남","유료회원","초4학년"
"16515","남","유료회원","초6학년"
"73755","남","유료회원","0학년"
"15900","여","유료회원","초6학년"
"66846","남","유료회원","초3학년"
"45893","여","유료회원","초1학년"
"75301","여","유료회원","초3학년"
"11062","남","유료회원","초4학년"
"58102","남","유료회원","초3학년"
"75589","남","유료회원","초1학년"
"12261","여","유료회원","초2학년"
"9716","남","유료회원","초3학년"
"14940","남","유료회원","초3학년"
"85685","여","유료회원","초3학년"
"33857","남","유료회원","초3학년"
"43223","남","유료회원","초4학년"
"6923","여","유료회원","초3학년"
"50349","남","유료회원","초5학년"
"77781","남","유료회원","초2학년"
"10107","남","유료회원","초6학년"
"9453","여","유료회원","초4학년"
"5145","여","유료회원","초6학년"
"84313","남","유료회원","초3학년"
"41670","남","유료회원","초1학년"
"23634","여","유료회원","초6학년"
"16793","남","유료회원","초3학년"
"458","남","유료회원","초2학년"
"82198","남","유료회원","초5학년"
"31825","여","유료회원","초2학년"
"51635","여","유료회원","초2학년"
"38536","남","유료회원","초1학년"
"21845","여","유료회원","초3학년"
"18742","여","유료회원","초3학년"
"10337","여","유료회원","초3학년"
"10740","여","유료회원","초2학년"
"4965","남","유료회원","초4학년"
"1771","남","유료회원","초4학년"
"41960","여","유료회원","0학년"
"44541","정보없음","유료회원","초2학년"
"13134","여","유료회원","초3학년"
"18945","남","유료회원","초1학년"
"11163","남","유료회원","초4학년"
"4382","남","유료회원","초2학년"
"31798","남","유료회원","초6학년"
"49502","여","유료회원","초2학년"
"14885","여","유료회원","초1학년"
"54767","남","유료회원","초3학년"
"59863","남","유료회원","초4학년"
"15858","여","유료회원","초1학년"
"97688","여","유료회원","초4학년"
"11972","여","유료회원","초6학년"
"31004","남","유료회원","초5학년"
"10959","여","유료회원","초5학년"
"40959","남","유료회원","초4학년"
"2378","여","유료회원","초5학년"
"60434","여","유료회원","초3학년"
"80035","남","유료회원","초4학년"
"13053","여","유료회원","초6학년"
"72321","남","유료회원","초5학년"
"85397","남","유료회원","초1학년"
"16825","여","유료회원","초3학년"
"70488","남","유료회원","초4학년"
"44845","남","유료회원","초4학년"
"46348","여","유료회원","초3학년"
"58895","여","유료회원","초3학년"
"46356","남","유료회원","초1학년"
